Date,Symbol,Order,Shares
2008-01-04,IBM,SELL,100
2008-01-15,IBM,BUY,100
2008-01-24,IBM,SELL,100
2008-02-04,IBM,BUY,100
2008-02-12,IBM,BUY,100
2008-02-26,IBM,SELL,100
2008-03-05,IBM,BUY,100
2008-03-18,IBM,SELL,100
2008-03-27,IBM,BUY,100
2008-04-09,IBM,SELL,100
2008-04-17,IBM,SELL,100
2008-04-28,IBM,BUY,100
2008-05-06,IBM,SELL,100
2008-05-21,IBM,BUY,100
2008-05-30,IBM,BUY,100
2008-06-09,IBM,SELL,100
2008-06-17,IBM,SELL,100
2008-06-26,IBM,BUY,100
2008-07-07,IBM,SELL,100
2008-07-15,IBM,BUY,100
2008-07-23,IBM,BUY,100
2008-07-31,IBM,SELL,100
2008-08-08,IBM,SELL,100
2008-08-19,IBM,BUY,100
2008-08-27,IBM,SELL,100
2008-09-05,IBM,BUY,100
2008-09-15,IBM,BUY,100
2008-09-25,IBM,SELL,100
2008-10-03,IBM,SELL,100
2008-10-13,IBM,BUY,100
2008-10-21,IBM,SELL,100
2008-10-29,IBM,BUY,100
2008-11-06,IBM,BUY,100
2008-11-14,IBM,SELL,100
2008-11-24,IBM,BUY,100
2008-12-05,IBM,SELL,100
2008-12-15,IBM,BUY,100
2008-12-26,IBM,SELL,100
2009-01-06,IBM,SELL,100
2009-01-15,IBM,BUY,100
2009-01-26,IBM,BUY,100
2009-02-06,IBM,SELL,100
2009-02-17,IBM,BUY,100
2009-02-25,IBM,SELL,100
2009-03-05,IBM,BUY,100
2009-03-13,IBM,SELL,100
2009-03-23,IBM,SELL,100
2009-03-31,IBM,BUY,100
2009-04-08,IBM,BUY,100
2009-04-17,IBM,SELL,100
2009-04-27,IBM,BUY,100
2009-05-05,IBM,SELL,100
2009-05-13,IBM,BUY,100
2009-05-28,IBM,SELL,100
2009-06-05,IBM,BUY,100
2009-06-15,IBM,SELL,100
2009-06-23,IBM,BUY,100
2009-07-01,IBM,SELL,100
2009-07-10,IBM,BUY,100
2009-07-21,IBM,SELL,100
2009-07-29,IBM,BUY,100
2009-08-06,IBM,SELL,100
2009-08-14,IBM,BUY,100
2009-08-24,IBM,SELL,100
2009-09-01,IBM,BUY,100
2009-09-16,IBM,SELL,100
2009-09-24,IBM,SELL,100
2009-10-02,IBM,BUY,100
2009-10-12,IBM,BUY,100
2009-10-23,IBM,SELL,100
2009-11-02,IBM,BUY,100
2009-11-10,IBM,SELL,100
2009-11-18,IBM,SELL,100
2009-11-27,IBM,BUY,100
2009-12-07,IBM,BUY,100
2009-12-15,IBM,SELL,100
2009-12-23,IBM,BUY,100
